"id","title","link","pubDate","desc"
"HIN46","congress tdp cpi m boycott assembly proceedings","http://www.thehindu.com/news/cities/Hyderabad/Congress-TDP-CPI-M-boycott-Assembly-proceedings/article16960218.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:37:46 +0530","protest against not getting ample opportunity to express their views on amendments to the la act"
"HIN47","la act for remedying injustice done to ts","http://www.thehindu.com/news/cities/Hyderabad/%E2%80%98LA-Act-for-remedying-injustice-done-to-TS%E2%80%99/article16960212.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:35:56 +0530","irrigation minister t harish rao asserted that the state government has proposed to introduce the right to fair compensation and transparency in land acquisition rehabilitation and resettlement te"
"HIN48","this year to last a second longer","http://www.thehindu.com/news/international/This-year-to-last-a-second-longer/article16960209.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:52:27 +0530","this year will last a second longer as a leap second will be added o the worlds clocks on new years eve by the timekeepers the extra second will be inserted at the us naval observatorys maste"
"HIN49","trying to get monkey off the back","http://www.thehindu.com/news/cities/Hyderabad/Trying-to-get-monkey-off-the-back/article16960204.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:34:43 +0530","discussion on monkey menace dominates the assembly session"
"HIN50","plaints against bsy eshwarappa dismissed","http://www.thehindu.com/news/national/karnataka/Plaints-against-BSY-Eshwarappa-dismissed/article16960203.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:33:58 +0530","the special lokayukta court here on thursday dismissed three private complaints lodged against bjp state president b s yeddyurappa and one against leader of the opposition in the legislative council"
"HIN51","on the road to making national highways safer","http://www.thehindu.com/news/cities/Hyderabad/On-the-road-to-making-national-highways-safer/article16960191.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:33:31 +0530","r b department begins an exercise to identify dark spots and accident prone areas on nhs in ts"
"HIN52","cashier ended life even before probe began","http://www.thehindu.com/news/national/karnataka/%E2%80%98Cashier-ended-life-even-before-probe-began%E2%80%99/article16960186.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:33:05 +0530","investigations have now revealed that raviraj the head cashier of the currency management branch state bank of mysore hanged himself even before a formal probe was launched against him for his all"
"HIN53","now wifi at railway stations of twin cities","http://www.thehindu.com/news/cities/Hyderabad/Now-WiFi-at-railway-stations-of-twin-cities/article16960172.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:31:37 +0530","railway minister suresh prabhu launches high speed wifi services offered by railtel corporation"
"HIN54","special dsc for urdu medium schools likely","http://www.thehindu.com/news/cities/Hyderabad/Special-DSC-for-Urdu-medium-schools-likely/article16960167.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:29:56 +0530","education minister kadiam srihari said that the government would consider conducting a special dsc for recruitment of teachers in urdu medium schools in the state responding to a query from mim membe"
"HIN55","opposition ruling party on the same page","http://www.thehindu.com/news/cities/Hyderabad/Opposition-ruling-party-on-the-same-page/article16960162.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:25:56 +0530","in a role reversal of sorts it was the opposition that took the lead in emphasising the need for launching a movement to strengthen government schools in the state raising the issue of neglect of go"
"HIN56","central bank autonomy back in focus","http://www.thehindu.com/business/Central-bank-autonomy-back-in-focus/article16960150.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:18:55 +0530","mumbai 2016 will be remembered as the year that saw bad loans at public sector banks scale new peaks as former reserve bank of india rbi governor raghuram rajans push to clean up lenders balance"
"HIN57","govt meets pmuy target of 1 5 crore lpg connection additions this financial year","http://www.thehindu.com/business/Govt-meets-PMUY-target-of-1.5-crore-LPG-connection-additions-this-financial-year/article16960147.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:18:17 +0530","new delhi the government on thursday said that it has met the 1 5 crore target for lpg connections to be added in this financial year under the pradhan mantri ujjwala yojana pmuy and so has increas"
"HIN58","financial data management body mooted","http://www.thehindu.com/business/Financial-data-management-body-mooted/article16960144.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:17:42 +0530","a committee set up under the department of economic affairs has recommended the creation of a statutory body that will standardise data from all financial sector regulators in a single database and w"
"HIN59","tata sons asks mistry to return all property","http://www.thehindu.com/business/Tata-Sons-asks-Mistry-to-return-all-%E2%80%98property%E2%80%99/article16960143.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:17:02 +0530","continuing its legal pressure tata sons through law firm shardul amarchand mangaldas has served a legal notice on former chairman cyrus mistry asking him to immediately return all confidential info"
"HIN60","banks likely to remain risk averse","http://www.thehindu.com/business/%E2%80%98Banks-likely-to-remain-risk-averse%E2%80%99/article16960136.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:15:04 +0530","lenders capital position may remain insufficient to support higher credit growth says rbi"
"HIN61","solaphur to host first global uniform and garment fair","http://www.thehindu.com/business/Solaphur-to-host-first-global-uniform-and-garment-fair/article16960133.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:11:08 +0530","over 6 000 retailers are expected to take part in indias first uniform and garment manufacturers exhibition to be held in solapur maharashtra for three days from january 5 to 7 the fair is organi"
"HIN62","ktdc also feels the pinch","http://www.thehindu.com/news/cities/Thiruvananthapuram/KTDC-also-feels-the-pinch/article16960129.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:10:54 +0530","thiruvananthapuram despite a five per cent increase in occupancy in the last three quarters the kerala tourism development corporation ktdc has been hit by drop in tourist arrivals due to a host of"
"HIN63","bhel commissions 600 mw unit in telangana","http://www.thehindu.com/business/BHEL-commissions-600-mw-unit-in-Telangana/article16960126.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:10:21 +0530","bharat heavy electricals ltd has commissioned the second of the two 600 mw units of singareni thermal power project in adilabad district telangana announcing this on thursday the company said in ma"
"HIN64","real estate heads for subdued start","http://www.thehindu.com/business/Real-estate-heads-for-subdued-start/article16960123.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:05:05 +0530","the year 2016 was significant for the real estate sector due to the number of reforms that were initiated in the period these include the goods amp services tax gst clearance for real estate inv"
"HIN65","cartoonscape december 29 2016","http://www.thehindu.com/opinion/cartoon/article16955106.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 00:18:41 +0530",""
"HIN66","driver who ran over police constable arrested","http://www.thehindu.com/news/cities/bangalore/Driver-who-ran-over-police-constable-arrested/article16960106.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 21:52:36 +0530","bengaluru the kamakshipalya police on thursday arrested the truck driver who allegedly ran over a traffic constable at sunkadakatte bus stop on magadi road on monday according to the police the s"
